#the sample data after using command genxndat labdata 249 190186

data;
param m := 249;
param a: 
	1 2 3 4 :=
1	0.955	0.159	0.587	0.935
2	0.163	0.971	0.035	0.855
3	0.729	0.505	0.426	0.152
4	0.044	0.337	0.098	0.616
5	0.416	0.586	0.959	0.626
6	0.383	0.037	0.206	0.613
7	0.606	0.022	0.967	0.659
8	0.746	0.317	0.339	0.06
9	0.459	0.827	0.235	0.464
10	0.92	0.466	0.74	0.699
11	0.059	0.239	0.399	0.669
12	0.382	0.036	0.384	0.052
13	0.55	0.489	0.084	0.487
14	0.31	0.089	0.354	0.854
15	0.254	0.153	0.754	0.522
16	0.349	0.088	0.615	0.462
17	0.345	0.619	0.826	0.841
18	0.359	0.014	0.615	0.177
19	0.049	0.003	0.378	0.498
20	0.354	0.292	0.244	0.152
21	0.996	0.903	0.472	0.799
22	0.52	0.151	0.521	0.021
23	0.27	0.567	0.662	0.747
24	0.094	0.292	0.638	0.613
25	0.154	0.789	0.965	0.159
26	0.718	0.329	0.24	0.382
27	0.507	0.907	0.431	0.252
28	0.157	0.471	0.71	0.434
29	0.439	0.207	0.659	0.928
30	0.808	0.575	0.432	0.58
31	0.45	0.472	0.27	0.974
32	0.562	0.959	0.01	0.635
33	0.659	0.026	0.565	0.716
34	0.299	0.552	0.038	0.497
35	0.319	0.952	0.572	0.83
36	0.837	0.019	0.699	0.385
37	0.564	0.917	0.397	0.717
38	0.513	0.707	0.965	0.169
39	0.389	0.809	0.589	0.672
40	0.049	0.592	0.038	0.155
41	0.423	0.765	0.945	0.717
42	0.835	0.161	0.549	0.992
43	0.171	0.866	0.264	0.91
44	0.682	0.278	0.563	0.813
45	0.18	0.301	0.814	0.004
46	0.197	0.855	0.229	0.352
47	0.263	0.893	0.129	0.943
48	0.777	0.545	0.598	0.717
49	0.5	0.101	0.051	0.609
50	0.476	0.006	0.317	0.932
51	0.398	0.558	0.048	0.057
52	0.242	0.429	0.264	0.318
53	0.472	0.611	0.698	0.77
54	0.939	0.387	0.276	0.498
55	0.742	0.686	0.089	0.941
56	0.725	0.528	0.629	0.315
57	0.245	0.349	0.804	0.035
58	0.404	0.47	0.419	0.427
59	0.952	0.202	0.298	0.469
60	0.975	0.556	0.177	0.889
61	0.388	0.953	0.911	0.905
62	0.269	0.96	0.427	0.784
63	0.027	0.688	0.674	0.93
64	0.083	0.237	0.235	0.052
65	0.256	0.215	0.575	0.421
66	0.068	0.754	0.6	0.194
67	0.505	0.942	0.099	0.333
68	0.514	0.839	0.515	0.629
69	0.134	0.771	0.919	0.607
70	0.71	0.859	0.235	0.325
71	0.004	0.459	0.537	0.958
72	0.339	0.104	0.435	0.928
73	0.444	0.597	0.78	0.176
74	0.051	0.286	0.05	0.245
75	0.67	0.227	0.251	0.816
76	0.565	0.872	0.377	0.6
77	0.808	0.963	0.456	0.396
78	0.964	0.474	0.061	0.429
79	0.536	0.762	0.344	0.154
80	0.983	0.179	0.519	0.748
81	0.221	0.013	0.605	0.532
82	0.557	0.255	0.795	0.714
83	0.347	0.766	0.396	0.68
84	0.423	0.101	0.428	0.796
85	0.153	0.616	0.308	0.764
86	0.703	0.899	0.286	0.972
87	0.866	0.335	0.467	0.656
88	0.839	0.135	0.038	0.158
89	0.818	0.651	0.85	0.994
90	0.523	0.276	0.716	0.786
91	0.198	0.11	0.275	0.517
92	0.117	0.393	0.197	0.242
93	0.435	0.375	0.223	0.439
94	1	0.653	0.141	0.905
95	0.161	0.282	0.799	0.165
96	0.022	0.393	0.419	0.807
97	0.724	0.043	0.906	0.426
98	0.358	0.171	0.194	0.772
99	0.242	0.859	0.108	0.615
100	0.183	0.726	0.005	0.218
101	0.448	0.423	0.944	0.285
102	0.38	0.525	0.166	0.884
103	0.162	0.094	0.695	0.117
104	0.523	0.379	0.2	0.627
105	0.257	0.368	0.851	0.758
106	0.308	0.879	0.384	0.296
107	0.581	0.495	0.091	0.445
108	0.053	0.005	0.513	0.602
109	0.641	0.103	0.376	0.818
110	0.493	0.551	0.286	0.02
111	0.979	0.297	0.042	0.483
112	0.412	0.902	0.896	0.248
113	0.251	0.377	0.669	0.315
114	0.442	0.495	0.101	0.616
115	0.244	0.839	0.034	0.775
116	0.082	0.006	0.899	0.346
117	0.377	0.149	0.862	0.35
118	0.419	0.111	0.527	0.76
119	0.993	0.714	0.446	0.198
120	0.672	0.657	0.488	0.533
121	0.874	0.943	0.606	0.779
122	0.265	0.424	0.346	0.058
123	0.162	0.131	0.108	0.406
124	0.183	0.438	0.661	0.073
125	0.303	0.554	0.6	0.763
126	0.587	0.148	0.341	0.894
127	0.897	0.368	0.55	0.21
128	0.655	0.855	0.533	0.234
129	0.571	0.238	0.633	0.765
130	0.961	0.674	0.451	0.591
131	0.267	0.742	0.725	0.539
132	0.105	0.142	0.037	0.802
133	0.862	0.058	0.175	0.897
134	0.333	0.52	0.564	0.677
135	0.852	0.994	0.477	0.156
136	0.166	0.978	0.904	0.781
137	0.127	0.533	0.05	0.033
138	0.248	0.259	0.842	0.512
139	0.71	0.498	0.547	0.761
140	0.324	0.396	0.065	0.79
141	0.919	0.256	0.22	0.577
142	0.073	0.471	0.002	0.089
143	0.777	0.19	0.394	0.664
144	0.168	0.655	0.154	0.193
145	0.862	0.624	0.209	0.318
146	0.875	0.738	0.442	0.263
147	0.214	0.644	0.608	0.658
148	0.56	0.368	0.248	0.509
149	0.516	0.345	0.202	0.251
150	0.102	0.227	0.635	0.211
151	0.752	0.181	0.205	0.275
152	0.116	0.667	0.504	0.108
153	0.944	0.882	0.355	0.789
154	0.728	0.874	0.683	0.379
155	0.542	0.424	0.573	0.054
156	0.928	0.675	0.863	0.744
157	0.746	0.479	0.33	0.263
158	0.021	0.721	0.448	0.73
159	0.561	0.217	0.366	0
160	0.912	0.079	0.455	0.948
161	0.835	0.932	0.608	0.124
162	0.575	0.42	0.156	0.543
163	0.098	0.288	0.113	0.875
164	0.701	0.078	0.883	0.813
165	0.764	0.763	0.593	0.745
166	0.789	0.441	0.891	0.567
167	0.346	0.593	0.828	0.489
168	0.487	0.489	0.028	0.202
169	0.851	0.949	0.053	0.229
170	0.422	0.027	0.877	0.79
171	0.647	0.722	0.412	0.635
172	0.709	0.295	0.531	0.916
173	0.912	0.863	0.917	0.142
174	0.398	0.4	0.959	0.632
175	0.397	0.289	0.104	0.837
176	0.01	0.41	0.624	0.838
177	0.86	0.587	0.966	0.559
178	0.508	0.282	0.184	0.813
179	0.167	0.707	0.794	0.552
180	0.355	0.947	0.449	0.608
181	0.972	0.246	0.452	0.348
182	0.173	0.234	0.899	0.702
183	0.057	0.247	0.455	0.006
184	0.72	0.772	0.52	0.835
185	0.092	0.529	0.162	0.08
186	0.915	0.866	0.255	0.41
187	0.816	0.803	0.48	0.285
188	0.263	0.62	0.506	0.397
189	0.549	0.042	0.983	0.484
190	0.699	0.43	0.543	0.425
191	0.762	0.256	0.215	0.879
192	0.38	0.554	0.97	0.846
193	0.088	0.662	0.467	0.851
194	0.805	0.842	0.252	0.05
195	0.033	0.851	0.462	0.297
196	0.546	0.059	0.223	0.464
197	0.571	0.534	0.463	0.287
198	0.371	0.665	0.265	0.449
199	0.198	0.481	0.226	0.935
200	0.362	0.535	0.957	0.982
201	0.758	0.881	0.314	0.231
202	0.286	0.062	0.094	0.562
203	0.76	0.309	0.509	0.843
204	0.699	0.484	0.817	0.514
205	0.919	0.27	0.674	0.133
206	0.569	0.285	0.563	0.678
207	0.588	0.601	0.405	0.547
208	0.353	0.172	0.545	0.721
209	0.58	0.508	0.468	0.709
210	0.9	0.701	0.847	0.953
211	0.792	0.209	0.299	0.585
212	0.12	0.032	0.885	0.747
213	0.18	0.801	0.015	0.677
214	0.461	0.901	0.265	0.645
215	0.101	0.582	0.44	0.912
216	0.687	0.609	0.874	0.947
217	0.911	0.351	0.873	0.365
218	0.735	0.922	0.746	0.35
219	0.244	0.736	0.669	0.829
220	0.256	0.319	0.7	0.956
221	0.531	0.044	0.406	0.127
222	0.427	0.111	0.361	0.023
223	0.387	0.069	0.599	0.597
224	0.303	0.8	0.769	0.106
225	0.431	0.374	0.626	0.946
226	0.162	0.66	0.839	0.065
227	0.153	0.438	0.995	0.387
228	0.371	0.14	0.14	0.749
229	0.734	0.274	0.329	0.138
230	0.11	0.349	0.462	0.25
231	0.24	0.407	0.678	0.72
232	0.324	0.767	0.984	0.493
233	0.708	1	0.069	0.579
234	0.203	0.527	0.257	0.788
235	0.201	0.057	0.695	0.068
236	0.939	0.276	0.234	0.898
237	0.273	0.731	0.984	0.329
238	0.093	0.855	0.88	0.284
239	0.379	0.287	0.065	0.748
240	0.268	0.977	0.059	0.661
241	0.891	0.035	0.02	0.1
242	0.514	0.853	0.108	0.901
243	0.56	0.986	0.862	0.791
244	0.665	0.442	0.344	0.81
245	0.605	0.864	0.578	0.43
246	0.198	0.776	0.337	0.481
247	0.359	0.012	0.931	0.922
248	0.878	0.845	0.811	0.958
249	0.526	0.224	0.115	0.011;

param: d :=
1	1
2	1
3	-1
4	-1
5	1
6	-1
7	1
8	-1
9	-1
10	1
11	-1
12	-1
13	1
14	-1
15	-1
16	-1
17	1
18	-1
19	-1
20	-1
21	1
22	1
23	1
24	-1
25	1
26	-1
27	1
28	-1
29	1
30	1
31	1
32	1
33	-1
34	-1
35	1
36	-1
37	1
38	1
39	1
40	-1
41	1
42	1
43	1
44	1
45	-1
46	-1
47	1
48	-1.0
49	-1
50	-1
51	-1
52	-1
53	1
54	1
55	1
56	1
57	-1
58	-1
59	-1
60	1
61	1
62	1
63	1
64	-1
65	-1
66	1
67	-1
68	1
69	1
70	1
71	-1
72	-1
73	-1
74	-1
75	-1
76	1
77	1
78	-1
79	-1
80	1
81	-1
82	1
83	1
84	-1
85	1
86	1
87	1
88	-1
89	1
90	1
91	-1
92	-1
93	-1
94	1
95	-1
96	-1
97	1
98	-1
99	-1
100	-1
101	1
102	-1
103	-1
104	-1
105	1
106	-1
107	1
108	-1
109	-1
110	-1
111	-1
112	1
113	-1
114	-1
115	-1
116	-1
117	-1
118	-1
119	1
120	1
121	-1.0
122	1
123	-1
124	1
125	1
126	-1
127	1
128	1
129	1
130	1
131	1
132	-1
133	-1
134	1
135	1
136	1
137	-1
138	-1
139	1
140	-1
141	-1
142	-1
143	1
144	-1
145	1
146	1
147	1
148	-1
149	-1
150	-1
151	-1
152	-1
153	1
154	1
155	-1
156	1
157	-1
158	-1
159	-1
160	1
161	1
162	-1
163	-1
164	1
165	1
166	1
167	1
168	-1
169	1
170	1
171	1
172	1
173	1
174	1
175	-1
176	-1
177	1
178	-1
179	1
180	1
181	1
182	1
183	-1
184	1
185	-1
186	1
187	1
188	-1
189	1
190	1
191	1
192	1
193	1
194	-1
195	-1
196	-1
197	-1
198	-1
199	-1
200	1
201	1
202	-1
203	1
204	1
205	-1
206	1
207	1
208	-1
209	1
210	1
211	-1
212	-1
213	-1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	-1
222	-1
223	-1
224	1
225	1
226	-1
227	-1
228	-1
229	-1
230	-1
231	1
232	1
233	1
234	-1
235	-1
236	1
237	1
238	1
239	-1
240	-1
241	-1
242	1
243	1
244	1
245	-1.0
246	-1
247	1
248	1
249	-1;

